# Altium Pin Report File

Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
124,TEST_4,74,,,,,,,,,,,
125,PL_SW_OUTB_2,75,,,,,,,,,,,
126,TEST_3,76,,,,,,,,,,,
127,VCC_3V3,77,,,,,,,,,,,
128,+1V8,78,,,,,,,,,,,
129,PL_SW_OUTA_15,79,,,,,,,,,,,
130,TEST_2,80,,,,,,,,,,,
131,PL_SW_OUTB_15,81,,,,,,,,,,,
132,TEST_1,82,,,,,,,,,,,
133,PL_SW_OUTA_1,83,,,,,,,,,,,
134,GND,84,,,,,,,,,,,
135,PL_SW_OUTB_1,85,,,,,,,,,,,
136,TEST_0,86,,,,,,,,,,,
137,GND,87,,,,,,,,,,,
138,PCBREV_0,88,,,,,,,,,,,
139,PL_SW_OUTA_16,89,,,,,,,,,,,
140,+1V8,90,,,,,,,,,,,
141,PL_SW_OUTB_16,91,,,,,,,,,,,
142,PCBREV_1,92,,,,,,,,,,,
143,+1V8,93,,,,,,,,,,,
144,PCBREV_2,94,,,,,,,,,,,
145,SIN,95,,,,,,,,,,,
146,GND,96,,,,,,,,,,,
147,LATCH,97,,,,,,,,,,,
148,PCBREV_3,98,,,,,,,,,,,
149,GND,99,,,,,,,,,,,
150,LED_1,100,,,,,,,,,,,
151,SCLK,101,,,,,,,,,,,
152,VCC_3V3,102,,,,,,,,,,,
153,BLANK,103,,,,,,,,,,,
154,LED_0,104,,,,,,,,,,,
155,VCC_3V3,105,,,,,,,,,,,
156,LED_5,106,,,,,,,,,,,
157,CSEL_0,107,,,,,,,,,,,
158,GND,108,,,,,,,,,,,
159,CSEL_1,109,,,,,,,,,,,
160,LED_4,110,,,,,,,,,,,
161,GND,111,,,,,,,,,,,
162,LED_6,112,,,,,,,,,,,
163,CSEL_2,113,,,,,,,,,,,
164,LED_3,114,,,,,,,,,,,
165,MRESET_VADJ,115,,,,,,,,,,,
166,LED_2,116,,,,,,,,,,,
167,,117,,,,,,,,,,,
168,,118,,,,,,,,,,,
